,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
59,DS,2008.0,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E
60,PSP,2005.0,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M
61,PS4,2014.0,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M
62,PS4,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E
63,Wii,2010.0,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E
64,X360,2008.0,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,M
65,X360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M
66,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,E
67,Wii,2009.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris,E10+
68,PS3,2011.0,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M
69,PS4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M
70,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco,T
71,Wii,2006.0,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,Nintendo,T
72,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog,E
73,WiiU,2014.0,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,E
74,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,T
75,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,E
76,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,EA LA,T
77,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+
78,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Epic Games,M
79,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,T
80,PS3,2007.0,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Infinity Ward,M
81,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Naughty Dog,T
82,DS,2005.0,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Nintendo,E
83,PS3,2010.0,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,M
84,PS3,2013.0,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,E
85,PS3,2012.0,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M
86,Wii,2010.0,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios,E
87,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Bungie Software,M
88,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M
89,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,Game Freak,E
90,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,SquareSoft,E
91,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie",M
92,X360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,Rockstar San Diego,M
93,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Nintendo,E
94,PC,2004.0,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T
95,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,Reflections Interactive,T
96,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Epic Games,M
97,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,E10+
98,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,Epic Games,M
99,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports,E
100,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,KCEJ,M
101,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,KCEJ,M
102,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,Kojima Productions,M
103,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,Square Enix,T
104,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,Naughty Dog,M
105,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",E
106,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,Capcom,M
107,DS,2009.0,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,Level 5,E10+
108,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,Namco,T
109,PS4,2014.0,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",T
110,Wii,2007.0,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,Traveller's Tales,E10+
111,DS,2006.0,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,Taito Corporation,E
112,PS3,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M
113,X360,2007.0,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,Ubisoft Montreal,M
114,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,Turn 10,E
115,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,Nintendo,E
116,PSP,2008.0,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,Capcom,T
117,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios,T
118,XOne,2014.0,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Rockstar North,M
119,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,Intelligent Systems,E
120,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,Traveller's Tales,E
121,PS3,2008.0,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Treyarch,M
122,PS4,2016.0,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Naughty Dog,T
123,PS3,2009.0,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,Square Enix,T
124,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,SquareSoft,T
125,X360,2012.0,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,M
126,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,SquareSoft,T
127,XOne,2014.0,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,Sledgehammer Games,M
128,X360,2009.0,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal,M
129,PS2,2007.6868551520836,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,EA Tiburon,E
130,WiiU,2012.0,Platform,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,Nintendo,E
131,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,Level 5,T
132,DS,2007.0,Puzzle,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,Level 5,E
133,X360,2012.0,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,Electronic Arts,E
134,PC,2012.0,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,Blizzard Entertainment,M
135,PS2,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,EA LA,T
136,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,Harmonix Music Systems,T
137,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,Lionhead Studios,M
138,PS3,2009.0,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,Capcom,M
139,DS,2007.0,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,Nintendo,E
140,PS3,2010.0,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,51.0,8.0,233.0,EA Sports,E
141,PS,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,91.0,8.0,9.0,266.0,Capcom,M
142,PSP,2006.0,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,50.0,8.0,150.0,Rockstar Leeds,M
143,PS,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,5.02,92.0,18.0,9.2,69.0,Neversoft Entertainment,T
144,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,4.98,82.0,24.0,8.2,46.0,"Neversoft Entertainment, BudCat",T
145,Wii,2007.0,Shooter,Nintendo,3.05,1.17,0.29,0.46,4.98,68.0,34.0,7.1,47.0,Nintendo,T
146,X360,2008.0,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,84.0,8.5,1655.0,Bethesda Game Studios,M
147,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,66.0,8.1,2306.0,"Naughty Dog, SCE/WWS",T
148,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,29.0,8.0,121.0,EA Sports,E
149,PC,2010.0,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,93.0,82.0,8.2,3052.0,Blizzard Entertainment,T
150,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,40.0,7.3,769.0,Ubisoft Montreal,M
151,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,101.0,8.7,2633.0,SCE Santa Monica,M
152,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,20.0,9.0,233.0,Naughty Dog,E
153,DS,2007.0,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,9.0,5.4,46.0,TT Fusion,E
154,PS,2000.0,Action,Atari,2.36,2.1,0.02,0.25,4.73,62.0,14.0,7.7,92.0,Reflections Interactive,T
155,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,87.0,8.7,1472.0,Rocksteady Studios,T
156,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98.0,19.0,7.7,299.0,Neversoft Entertainment,T
157,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,32.0,8.2,78.0,Stormfront Studios,T
158,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,13.0,8.6,147.0,Core Design Ltd.,T
159,Wii,2008.0,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,50.0,7.6,119.0,Nintendo,E
160,PS4,2015.0,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,78.0,8.1,1264.0,Bluepoint Games,T
161,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,80.0,8.9,968.0,Nintendo,E
162,Wii,2007.0,Misc,Activision,3.04,1.11,0.0,0.43,4.6,86.0,36.0,8.4,87.0,Vicarious Visions,T
163,3DS,2013.0,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,74.0,8.4,458.0,Next Level Games,E
164,X360,2011.0,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.0,83.0,8.2,617.0,Turn 10,E
165,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,30.0,7.9,78.0,EA Tiburon,E
166,X360,2007.0,Misc,Activision,3.19,0.91,0.01,0.42,4.53,85.0,69.0,7.9,165.0,Neversoft Entertainment,T
167,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,29.0,8.2,39.0,EA Sports,E
168,XOne,2015.0,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.0,101.0,6.4,2438.0,343 Industries,T
169,PS2,2002.0,Action,Activision,2.71,1.51,0.03,0.23,4.48,76.0,25.0,7.9,41.0,Treyarch,E
170,PS4,2016.0,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,77.0,82.0,3.4,1129.0,Infinity Ward,M
171,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.0,75.0,8.9,997.0,SCE Santa Monica,M
172,WiiU,2015.0,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,88.0,8.5,1184.0,Nintendo,E10+
173,WiiU,2012.0,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77.0,61.0,7.9,471.0,Nintendo,E10+
174,PS2,2001.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97.0,34.0,7.5,298.0,Neversoft Entertainment,T
175,PS2,2006.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86.0,19.0,8.9,33.0,Konami,E
176,X360,2006.0,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,94.0,90.0,8.7,1109.0,Bethesda Softworks,M
177,PS2,2005.0,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82.0,36.0,9.1,137.0,EA Canada,T
178,Wii,2010.0,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,37.0,8.3,31.0,"Ubisoft Paris, Ubisoft Montpellier",E10+
179,PS3,2014.0,Shooter,Activision,1.56,1.93,0.19,0.68,4.36,70.24982186119425,28.78324070115434,4.8,207.0,High Moon Studios,M
180,PS3,2006.0,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,86.0,70.0,8.1,715.0,Insomniac Games,M
181,PS2,2005.0,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,87.0,64.0,9.0,766.0,Square Enix,E10+
182,WiiU,2013.0,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,93.0,83.0,9.0,1607.0,Nintendo,E
183,X360,2014.0,Shooter,Activision,2.77,1.11,0.0,0.4,4.29,70.24982186119425,28.78324070115434,4.9,221.0,High Moon Studios,M
184,PS3,2014.0,Sports,Electronic Arts,0.58,3.02,0.04,0.64,4.28,70.24982186119425,28.78324070115434,4.5,109.0,EA Sports,E
185,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,89.0,95.0,6.5,2423.0,Lionhead Studios,M
186,GBA,2001.0,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,79.0,10.0,7.3,6.0,Mass Media,E
187,PS3,2009.0,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,91.0,70.0,8.9,1122.0,Rocksteady Studios,T
188,PS2,2004.0,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,91.0,68.0,9.3,955.0,KCEJ,M
189,PS3,2011.0,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,80.0,39.0,7.5,613.0,Ubisoft Montreal,M
190,XOne,2015.0,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88.0,39.0,6.2,1749.0,Bethesda Game Studios,M
191,X360,2013.0,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22,84.0,41.0,4.2,435.0,EA Canada,E
192,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,1.01,0.0,0.75,4.21,85.0,59.0,8.7,109.0,Ready at Dawn,E10+
193,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80.0,32.0,7.8,47.0,EA Canada,E
194,PS2,2003.0,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2,80.0,32.0,7.5,22.0,"SCEE, Zoe Mode",E
195,PS3,2007.0,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,80.0,67.0,7.1,120.0,Polyphony Digital,E
196,X360,2011.0,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80.0,77.0,7.2,564.0,Ubisoft Montreal,M
197,PS3,2009.0,Fighting,Capcom,2.03,1.04,0.58,0.52,4.16,94.0,61.0,7.3,330.0,Capcom,T
